module	GCF_001424875	GCF_001425805	GCF_001426325	GCF_001426425	GCF_001426585	GCF_001426615	GCF_001427245	GCF_001427565	GCF_001427745	GCF_001428885	GCF_001429805
M00092	0	0	0	0	0	0	0	0	0	0	0
M00093	1	1	1	1	1	1	1	1	1	1	1
M00094	0	0	0	0	0	0	0	0	0	0	0
M00095	0	0	0	1	0	0	0	0	0	0	0
M00096	1	1	1	1	1	1	1	1	1	1	1
M00097	0	0	0	0	0	0	0	0	0	0	0
M00098	0	1	0	1	0	0	0	0	0	1	0
M00099	0	0	0	0	0	0	0	0	0	0	0
M00100	0	0	0	0	0	0	0	0	0	0	0
M00101	0	0	0	0	0	0	0	0	0	0	0
M00102	0	0	0	0	0	0	0	0	0	0	0
M00103	0	0	0	0	0	0	0	0	0	0	0
M00104	0	0	0	0	0	0	0	0	0	0	0
M00106	0	0	0	0	0	0	0	0	0	0	0
M00107	0	0	0	0	0	0	0	0	0	0	0
M00108	0	0	0	0	0	0	0	0	0	0	0
M00109	0	0	0	0	0	0	0	0	0	0	0
M00110	0	0	0	0	0	0	0	0	0	0	0
M00112	0	0	0	0	0	0	0	0	0	0	0
M00113	0	0	0	0	0	0	0	0	0	0	0
M00114	0	0	0	0	0	0	0	0	0	0	0
M00115	1	1	1	1	1	1	1	1	1	1	1
M00116	0	0	0	0	0	0	0	0	0	0	0
M00117	0	0	0	0	0	0	0	0	0	0	0
M00118	0	0	0	0	0	0	0	0	0	0	0
M00119	1	1	1	1	0	1	1	1	1	1	1
M00120	1	1	1	1	1	1	1	1	1	1	1
M00121	1	1	1	1	1	1	1	1	1	1	1
M00122	1	1	1	1	1	1	1	1	1	1	1
M00123	1	1	1	1	1	1	1	1	1	1	1
M00124	0	0	0	0	0	0	0	0	0	0	0
M00125	1	1	1	1	1	1	1	1	1	1	1
M00126	1	1	1	1	1	1	1	1	1	1	1
M00127	0	0	0	0	0	0	0	0	0	0	0
M00128	0	0	0	0	0	0	0	0	0	0	0
M00129	0	0	0	0	0	0	0	0	0	0	0
M00130	0	0	0	0	0	0	0	0	0	0	0
M00131	0	0	0	0	0	0	0	0	0	0	0
M00132	0	0	0	0	0	0	0	0	0	0	0
M00133	0	1	0	1	0	0	0	0	1	1	0
M00134	0	0	0	0	0	0	0	0	0	0	0
M00135	1	1	0	1	1	1	1	0	1	1	1
M00136	0	0	0	0	0	0	0	0	0	0	0
M00137	0	0	0	0	0	0	0	0	0	0	0
M00138	0	0	0	0	0	0	0	0	0	0	0
M00140	0	0	0	0	0	0	0	0	0	0	0
M00141	0	0	0	0	0	0	0	0	0	0	0
M00142	0	0	0	0	0	0	0	0	0	0	0
M00143	0	0	0	0	0	0	0	0	0	0	0
M00144	1	1	1	1	1	1	1	1	1	1	1
M00145	0	0	0	0	0	0	0	0	0	0	0
M00146	0	0	0	0	0	0	0	0	0	0	0
M00147	0	0	0	0	0	0	0	0	0	0	0
M00148	0	0	0	0	0	0	0	0	0	0	0
M00149	1	1	1	1	1	1	1	1	1	1	1
M00150	0	0	0	0	0	0	0	0	0	0	0
M00151	1	1	1	1	1	1	1	1	1	1	1
M00152	0	0	0	0	0	0	0	0	0	0	0
M00153	0	0	0	0	0	0	0	0	0	0	0
M00154	0	0	0	0	0	0	0	0	0	0	0
M00155	1	1	1	1	1	1	1	1	1	0	0
M00156	0	0	0	0	0	0	0	0	0	0	0
M00157	1	1	1	1	1	1	1	1	1	1	1
M00158	0	0	0	0	0	0	0	0	0	0	0
M00159	0	0	0	0	0	0	0	0	0	0	0
M00160	0	0	0	0	0	0	0	0	0	0	0
M00161	0	0	0	0	0	0	0	0	0	0	0
M00162	0	0	0	0	0	0	0	0	0	0	0
M00163	0	0	0	0	0	0	0	0	0	0	0
M00165	0	0	0	0	0	0	0	0	0	0	0
M00166	0	0	0	0	0	0	0	0	0	0	0
M00167	1	1	1	1	1	0	1	1	1	1	1
M00168	1	1	1	1	1	1	1	1	1	1	1
M00169	0	1	0	0	0	0	0	0	0	0	0
M00170	0	0	0	0	0	0	0	0	0	0	0
M00171	0	0	0	0	0	0	0	0	0	0	0
M00172	0	1	0	0	0	0	0	0	0	0	0
M00173	0	0	0	0	0	0	0	0	1	0	0
M00174	0	0	0	0	0	0	0	0	0	0	0
M00175	0	0	0	0	0	0	0	0	0	0	0
M00176	1	1	1	1	1	1	1	1	1	1	1
M00307	1	1	1	1	1	1	1	1	1	1	1
M00308	1	1	1	1	1	1	1	1	1	1	1
M00309	0	0	0	0	0	0	0	0	0	0	0
M00338	0	0	0	0	0	0	0	0	0	0	0
M00344	0	0	0	0	0	0	0	0	0	0	0
M00345	0	0	0	0	0	0	0	0	0	0	0
M00346	0	0	0	0	0	0	0	0	0	0	0
M00356	0	0	0	0	0	0	0	0	0	0	0
M00357	0	0	0	0	0	0	0	0	0	0	0
M00358	0	0	0	0	0	0	0	0	0	0	0
M00363	0	0	0	0	0	0	0	0	0	0	0
M00364	1	1	1	1	1	1	1	1	1	1	1
M00365	1	1	1	1	1	1	1	1	1	1	1
M00366	0	0	0	0	0	0	0	0	0	0	0
M00367	0	0	0	0	0	0	0	0	0	0	0
M00368	0	0	0	0	0	0	0	0	0	0	0
M00369	0	0	0	0	0	0	0	0	0	0	0
M00370	0	0	0	0	0	0	0	0	0	0	0
M00371	0	0	0	0	0	0	0	0	0	0	0
M00372	0	0	0	0	0	0	0	0	0	0	0
M00373	0	0	0	0	0	0	0	0	0	0	0
M00374	0	0	0	0	0	0	0	0	0	0	0
M00375	0	0	0	0	0	0	0	0	0	0	0
M00376	0	0	0	0	0	0	0	0	0	0	0
M00377	0	0	0	0	0	0	0	0	0	0	0
M00378	1	1	1	1	1	1	1	1	1	1	1
M00415	0	0	0	0	0	0	0	0	0	0	0
M00416	0	0	0	0	0	0	0	0	0	0	0
M00417	0	0	0	0	0	0	0	0	0	0	0
M00418	0	0	0	0	0	0	0	0	0	0	0
M00419	0	0	0	0	0	0	0	0	0	0	0
M00422	0	0	0	0	0	0	0	0	0	0	0
M00432	1	1	1	1	1	1	1	1	1	1	1
M00433	0	0	0	0	0	0	0	0	0	0	0
M00525	0	0	0	0	0	0	0	0	0	0	0
M00526	1	1	1	1	1	1	1	1	1	1	1
M00527	1	1	1	1	1	1	1	1	1	1	1
M00528	0	0	0	0	0	0	0	0	0	0	0
M00529	0	0	0	0	0	0	0	0	0	0	0
M00530	0	0	0	0	0	0	0	0	0	0	0
M00531	0	0	0	0	0	0	0	0	0	0	0
M00532	0	0	0	0	0	0	0	0	0	0	0
M00533	0	1	0	0	0	0	0	0	0	1	0
M00534	0	0	0	0	0	0	0	0	0	0	0
M00535	0	0	0	0	0	0	0	0	0	0	0
M00537	0	0	0	0	0	0	0	0	0	0	0
M00538	0	0	0	0	0	0	0	0	0	0	0
M00539	0	0	0	0	0	0	0	0	0	0	0
M00540	0	0	0	0	0	0	0	0	0	0	0
M00541	0	0	0	0	0	0	0	0	0	0	0
M00542	0	0	0	0	0	0	0	0	0	0	0
M00543	0	0	0	0	0	0	0	0	0	0	0
M00544	0	0	0	0	0	0	0	0	0	0	0
M00545	0	0	0	0	0	0	0	0	0	1	0
M00546	1	1	1	1	1	1	1	1	1	1	1
M00547	0	0	0	0	0	0	0	0	0	0	0
M00548	0	0	0	0	0	0	0	0	0	0	0
M00549	1	1	1	1	0	1	1	1	0	0	1
M00550	0	0	0	0	0	0	0	0	0	0	0
M00551	0	0	0	0	0	0	0	0	0	0	0
M00552	0	0	0	0	0	0	0	0	0	0	0
M00554	1	1	1	1	1	1	1	1	1	1	1
M00555	0	1	1	1	0	0	0	1	0	1	0
M00563	0	0	0	0	0	0	0	0	0	0	0
M00564	0	0	0	0	0	0	0	0	0	0	0
M00565	0	1	0	1	0	0	0	0	0	1	0
M00567	0	0	0	0	0	0	0	0	0	0	0
M00568	0	0	0	0	0	0	0	0	0	0	0
M00569	0	0	0	0	0	0	0	0	0	0	0
M00570	1	1	1	1	1	1	1	1	1	1	1
M00572	0	0	0	0	0	0	0	0	0	0	0
M00573	0	0	0	0	0	0	0	0	0	0	0
M00574	0	0	0	0	0	0	0	0	0	0	0
M00575	0	0	0	0	0	0	0	0	0	0	0
M00576	0	0	0	0	0	0	0	0	0	0	0
M00577	1	1	1	1	1	1	1	1	1	1	1
M00579	1	1	1	1	1	1	1	1	1	1	1
M00580	0	0	0	0	0	0	0	0	0	0	0
M00595	0	0	0	0	0	0	0	0	0	0	0
M00596	0	0	0	0	0	0	0	0	0	0	0
M00597	0	0	0	0	0	0	0	0	0	0	0
M00598	0	0	0	0	0	0	0	0	0	0	0
M00608	0	0	0	0	0	0	0	0	0	0	0
M00609	0	0	0	0	0	0	0	0	0	0	0
M00611	0	0	0	0	0	0	0	0	0	0	0
M00612	0	0	0	0	0	0	0	0	0	0	0
M00613	0	0	0	0	0	0	0	0	0	0	0
M00614	0	0	0	0	0	0	0	0	0	0	0
M00615	1	1	0	1	1	1	1	0	1	1	1
M00616	0	0	0	0	0	0	0	0	0	0	0
M00617	0	0	0	0	0	0	0	0	0	0	0
M00618	0	0	0	0	0	0	0	0	0	0	0
M00620	0	0	0	0	0	0	0	0	0	0	0
M00622	0	0	0	0	0	0	0	0	0	0	0
M00623	0	0	0	0	0	0	0	0	0	0	0
M00624	0	0	0	0	0	0	0	0	0	0	0
M00625	0	0	0	0	0	0	0	0	0	0	0
M00627	0	0	0	0	0	0	0	0	0	0	0
M00630	0	0	0	0	0	0	0	0	0	0	0
M00631	0	0	0	0	0	0	0	0	0	0	0
M00632	1	1	1	1	1	1	1	1	1	1	1
M00633	0	0	0	0	0	0	0	0	0	0	0
M00636	0	0	0	0	0	0	0	0	0	0	0
M00637	0	0	0	0	0	0	0	0	0	0	0
M00638	0	0	0	0	0	0	0	0	0	0	0
M00639	0	0	0	0	0	0	0	0	0	0	0
M00641	0	0	0	0	0	0	0	0	0	0	0
M00642	0	0	0	0	0	0	0	0	0	0	0
M00643	0	0	0	0	0	0	0	0	0	0	0
M00649	0	0	0	0	0	0	0	0	0	0	0
M00651	0	0	0	0	0	0	0	0	0	0	0
M00652	0	0	0	0	0	0	0	0	0	0	0
M00660	0	0	0	0	0	0	0	0	0	0	0
M00661	0	0	0	0	0	0	0	0	0	0	0
M00664	0	0	0	0	0	0	0	0	0	0	0
M00672	0	0	0	0	0	0	0	0	0	0	0
M00673	0	0	0	0	0	0	0	0	0	0	0
M00674	0	0	0	0	0	1	1	0	0	0	0
M00675	0	0	0	0	0	0	0	0	0	0	0
M00696	0	0	0	0	0	0	0	0	0	0	0
M00697	0	0	0	0	0	0	0	0	0	0	0
M00698	0	0	0	0	0	0	0	0	0	0	0
M00700	0	0	0	0	0	0	0	0	0	0	0
M00702	0	0	0	0	0	0	0	0	0	0	0
M00704	0	0	0	0	0	0	0	0	0	0	0
M00705	0	0	0	0	0	0	0	0	0	0	0
M00714	0	0	0	0	0	0	0	0	0	0	0
M00718	0	0	0	0	0	0	0	0	0	0	0
M00725	0	0	0	0	0	0	0	0	0	0	0
M00726	0	0	0	0	0	0	0	0	0	0	0
M00730	0	0	0	0	0	0	0	0	0	0	0
M00736	0	0	0	0	0	0	0	0	0	0	0
M00740	0	0	0	0	0	0	0	0	0	0	0
M00741	1	1	1	1	1	1	1	1	1	1	1
M00744	0	0	0	0	0	0	0	0	0	0	0
M00745	0	0	0	0	0	0	0	0	0	0	0
M00746	0	0	0	0	0	0	0	0	0	0	0
M00761	0	0	0	0	0	0	0	0	0	0	0
M00763	0	0	0	0	0	0	0	0	0	0	0
M00769	0	0	0	0	0	0	0	0	0	0	0
M00773	0	0	0	0	0	0	0	0	0	0	0
M00774	0	0	0	0	0	0	0	0	0	0	0
M00775	0	0	0	0	0	0	0	0	0	0	0
M00776	0	0	0	0	0	0	0	0	0	0	0
M00777	0	0	0	0	0	0	0	0	0	0	0
M00778	0	1	1	0	1	1	1	1	1	1	0
M00779	0	0	0	0	0	0	0	0	0	0	0
M00780	0	0	0	0	0	0	0	0	0	0	0
M00781	0	0	0	0	0	0	0	0	0	0	0
M00782	0	0	0	0	0	0	0	0	0	0	0
M00783	0	0	0	0	0	0	0	0	0	0	0
M00784	0	0	0	0	0	0	0	0	0	0	0
M00785	0	0	0	0	0	0	0	0	0	0	0
M00786	0	0	0	0	0	0	0	0	0	0	0
M00787	0	0	0	0	0	0	0	0	0	0	0
M00788	0	0	0	0	0	0	0	0	0	0	0
M00789	0	0	0	0	0	0	0	0	0	0	0
M00790	0	0	0	0	0	0	0	0	0	0	0
M00793	1	1	0	1	0	0	1	0	1	1	1
M00794	0	0	0	0	0	0	0	0	0	0	0
M00795	0	0	0	0	0	0	0	0	0	0	0
M00796	0	0	0	0	0	0	0	0	0	0	0
M00797	0	0	0	0	1	0	0	0	0	0	0
M00798	0	0	1	0	0	0	0	1	0	0	0
M00799	0	0	1	0	0	0	0	1	0	0	0
M00800	0	0	0	0	0	0	0	0	0	0	0
M00801	0	0	0	0	0	0	0	0	0	0	0
M00802	0	0	1	0	0	0	0	1	0	0	0
M00803	0	0	0	0	0	0	0	0	0	0	0
M00804	0	0	0	0	0	0	0	0	0	0	0
M00805	0	0	0	0	0	0	0	0	0	0	0
M00808	0	0	0	0	0	0	0	0	0	0	0
M00810	0	0	0	0	0	0	0	0	0	0	0
M00811	0	0	0	0	0	0	0	0	0	0	0
M00814	0	0	0	0	0	0	0	0	0	0	0
M00815	0	0	0	0	0	0	0	0	0	0	0
M00819	0	0	0	0	0	0	0	0	0	0	0
M00823	0	0	0	0	0	0	0	0	0	0	0
M00824	0	0	1	0	0	0	1	1	0	0	0
M00825	0	0	0	0	0	0	0	0	0	0	0
M00826	0	0	0	0	0	0	0	0	0	0	0
M00827	0	0	0	0	0	0	0	0	0	0	0
M00828	0	0	0	0	0	0	0	0	0	0	0
M00829	0	0	0	0	0	0	0	0	0	0	0
M00830	0	0	0	0	0	0	0	0	0	0	0
M00831	0	0	0	0	0	0	0	0	0	0	0
M00832	0	0	0	0	0	0	0	0	0	0	0
M00833	0	0	0	0	0	0	0	0	0	0	0
M00834	0	0	0	0	0	0	0	0	0	0	0
M00835	0	0	0	0	0	0	0	0	0	0	0
M00836	0	0	0	0	0	0	0	0	0	0	0
M00837	0	0	0	0	0	0	0	0	0	0	0
M00838	0	0	0	0	0	0	0	0	0	0	0
M00840	0	0	0	0	0	0	0	0	0	0	0
M00841	0	0	0	0	0	0	0	0	0	0	0
M00842	0	0	0	0	0	0	0	0	0	0	0
M00843	0	0	0	0	0	0	0	0	0	0	0
M00844	1	1	1	1	1	1	1	1	1	1	1
M00845	0	0	0	0	0	0	0	0	0	0	0
M00846	1	1	1	1	1	1	1	1	1	1	1
M00847	0	0	0	0	0	0	0	0	0	0	0
M00848	0	0	0	0	0	0	0	0	0	0	0
M00849	0	0	0	0	0	0	0	0	0	0	0
M00850	0	0	0	0	0	0	0	0	0	0	0
M00851	0	0	0	0	0	0	0	0	0	0	0
M00852	0	0	0	0	0	0	0	0	0	0	0
M00853	0	0	0	0	0	0	0	0	0	0	0
M00854	0	0	0	1	0	0	0	0	0	1	0
M00855	1	1	1	1	1	1	1	1	1	1	1
M00856	0	0	0	0	0	0	0	0	0	0	0
M00857	0	0	0	0	0	0	0	0	0	0	0
M00859	0	0	0	0	0	0	0	0	0	0	0
M00860	0	0	0	0	0	0	0	0	0	0	0
M00861	0	0	0	0	0	0	0	0	0	0	0
M00862	0	0	0	0	0	0	0	0	0	0	0
M00866	0	0	0	0	0	0	0	0	0	0	0
M00867	0	0	0	0	0	0	0	0	0	0	0
M00868	1	1	1	1	1	1	1	1	1	1	1
M00872	0	0	0	0	0	0	0	0	0	0	0
M00873	0	0	0	0	0	0	0	0	0	0	0
M00874	0	0	0	0	0	0	0	0	0	0	0
M00875	0	0	0	0	0	0	0	0	0	0	0
M00876	0	0	0	0	0	0	0	0	0	0	0
M00877	0	0	0	0	0	0	0	0	0	0	0
M00878	0	0	0	0	0	0	0	0	0	0	0
M00879	0	0	0	0	0	0	0	0	0	0	0
M00880	1	1	1	1	1	1	1	1	1	1	1
M00881	1	1	1	1	1	1	1	1	1	1	1
M00882	0	0	0	0	0	0	0	0	0	0	0
M00883	0	0	0	0	0	0	0	0	0	0	0
M00884	0	0	0	0	0	0	0	0	0	0	0
M00889	0	0	0	0	0	0	0	0	0	0	0
M00890	0	0	0	0	0	0	0	0	0	0	0
M00891	0	0	0	0	0	0	0	0	0	0	0
M00892	0	0	0	0	0	0	0	0	0	0	0
M00893	0	0	0	0	0	0	0	0	0	0	0
M00894	0	0	0	0	0	0	0	0	0	0	0
M00895	0	0	0	0	0	0	0	0	0	0	0
M00896	1	1	1	1	1	1	1	1	1	1	1
M00897	0	0	0	0	0	0	0	0	0	0	0
M00898	0	0	0	0	0	0	0	0	0	0	0
M00899	0	0	0	0	0	0	0	0	0	0	0
M00900	0	0	0	0	0	0	0	0	0	0	0
M00901	0	0	0	0	0	0	0	0	0	0	0
M00902	0	0	0	0	0	0	0	0	0	0	0
M00903	0	0	0	0	0	0	0	0	0	0	0
M00904	0	0	0	0	0	0	0	0	0	0	0
M00905	0	0	0	0	0	0	0	0	0	0	0
M00906	0	0	0	0	0	0	0	0	0	0	0
M00909	1	1	1	1	1	1	1	1	1	1	1
M00910	0	0	0	0	0	0	0	0	0	0	0
M00911	0	0	0	0	0	0	0	0	0	0	0
M00912	1	0	1	0	0	0	0	1	1	1	1
M00913	1	1	0	1	0	1	1	0	1	1	0
M00914	0	0	0	0	0	0	0	0	0	0	0
M00915	0	0	0	0	0	0	0	0	0	0	0
M00916	1	1	1	1	1	1	1	1	1	1	1
M00917	0	0	0	0	0	0	0	0	0	0	0
M00918	1	0	1	0	1	1	1	1	1	0	1
M00919	0	0	0	0	0	0	0	0	0	0	0
M00921	0	0	0	0	0	0	0	0	0	0	0
M00922	0	0	0	0	0	0	0	0	0	0	0
M00923	0	0	0	0	0	0	0	0	0	0	0
M00924	1	1	1	1	1	1	1	1	1	1	1
M00925	1	1	1	1	1	1	1	1	1	1	1
M00926	1	1	1	1	1	1	1	1	1	1	1
M00927	0	0	0	0	0	0	0	0	0	0	0
M00928	0	0	0	0	0	0	0	0	0	0	0
M00929	0	0	0	0	0	0	0	0	0	0	0
M00930	1	1	1	1	1	1	1	1	1	0	1
M00931	1	1	1	1	1	1	1	1	1	0	1
M00932	0	0	0	0	0	0	0	0	0	0	0
M00933	0	0	0	0	0	0	0	0	0	0	0
M00934	0	0	0	0	0	0	0	0	0	0	0
M00935	0	0	0	0	0	0	0	0	0	0	0
M00936	0	0	0	0	0	0	0	0	0	0	0
